,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
 Whole Kingdom ,"14,311","14,500","15,942","16,205","16,819","17,403","18,766","19,061","20,892","21,157"
 Greater Bangkok ,"24,194","23,996","28,140","27,985","28,055","27,566","31,971","32,425","31,606","30,882"
     Bangkok ,"25,749","25,615","31,199","30,334","29,647","29,969","33,957","35,024","34,426","33,086"
     Samut Prakan ,"15,683","15,910","16,753","18,450","19,973","20,158","25,861","26,193","22,747","22,332"
     Nonthaburi ,"25,950","26,414","28,329","29,487","32,423","29,099","28,731","26,947","30,812","31,381"
     Pathum Thani ,"21,731","19,468","21,910","22,460","23,118","18,993","30,669","29,514","30,197","29,770"
 Central Region ,"15,373","15,168","16,711","17,106","16,894","16,954","19,762","19,728","21,144","21,055"
     Phra Nakhon Si Ayutthaya ,"15,859","16,757","19,201","20,717","18,789","17,534","25,216","20,494","20,410","22,218"
     Ang Thong ,"13,318","13,431","13,432","20,773","17,960","16,591","21,273","21,183","19,634","17,574"
     Lop Buri ,"15,870","14,462","15,386","16,764","14,433","14,875","17,357","15,945","14,911","17,969"
     Sing Buri ,"16,209","14,988","13,792","17,787","15,643","19,207","23,475","22,118","19,632","22,137"
     Chai Nat ,"13,358","12,841","12,162","14,272","16,110","17,392","15,536","17,767","17,091","17,163"
     Saraburi ,"17,063","15,467","15,783","17,378","17,228","19,377","21,413","22,765","22,811","23,017"
     Chon Buri ,"19,770","21,048","23,077","21,312","21,123","20,573","25,499","24,934","25,704","24,182"
     Rayong ,"17,215","18,165","19,196","18,559","17,689","18,546","21,024","21,873","23,303","24,434"
     Chanthaburi ,"17,279","16,449","17,830","17,290","19,828","18,861","19,595","17,597","20,650","23,351"
     Trat ,"13,296","13,463","13,010","13,365","13,439","17,051","15,663","16,706","18,127","18,989"
     Chachoengsao ,"14,646","16,231","16,531","19,009","18,295","17,958","23,080","26,071","23,342","21,783"
     Prachin Buri ,"14,539","16,471","17,944","18,472","18,565","22,883","19,734","18,315","20,790","20,995"
     Nakhon Nayok ,"13,091","13,584","13,167","13,574","12,889","13,807","16,460","17,697","17,483","18,154"
     Sa Kaeo ,"8,342","9,975","15,120","12,396","12,697","15,130","19,531","18,571","20,227","20,577"
     Ratchaburi ,"16,961","14,786","17,585","16,951","17,082","13,847","16,760","17,253","17,515","15,084"
     Kanchanaburi ,"13,821","12,457","15,772","15,669","16,243","13,777","17,220","17,301","17,187","15,765"
     Suphan Buri ,"12,645","11,892","12,642","11,924","13,104","11,908","12,393","13,450","14,869","14,146"
     Nakhon Pathom ,"19,070","18,139","17,890","17,308","17,064","15,981","20,409","21,305","25,876","26,025"
     Samut Sakhon ,"14,197","14,076","15,045","18,074","15,869","18,164","18,165","18,565","22,560","22,877"
     Samut Songkhram ,"11,833","9,918","13,388","17,830","16,546","15,601","16,953","16,558","19,511","18,801"
     Phetchaburi ,"13,144","13,256","13,956","14,509","17,102","18,275","19,141","18,469","20,170","22,154"
     Prachuap Khiri Khan ,"16,477","15,977","17,693","15,782","16,161","17,236","21,452","22,393","25,915","21,268"
 Northern Region ,"11,185","10,990","11,746","12,051","12,818","13,668","14,010","14,066","15,286","15,268"
     Chiang Mai ,"12,606","12,480","13,988","14,234","14,775","15,607","14,585","11,704","13,732","11,864"
     Lamphun ,"12,791","12,789","14,370","16,476","15,968","16,605","17,898","20,381","20,063","20,550"
     Lampang ,"12,767","11,360","11,879","10,744","12,433","14,693","15,194","15,102","16,021","15,315"
     Uttaradit ,"12,974","11,217","9,994","10,275","11,274","13,433","12,016","13,550","15,220","15,815"
     Phrae ,"10,454","11,491","10,321","10,695","13,539","14,135","13,959","15,479","15,455","16,449"
     Nan ,"11,626","11,578","10,841","12,290","12,571","14,280","13,623","14,078","13,920","14,165"
     Phayao ,"9,815","10,495","9,547","10,399","11,202","12,348","11,484","11,245","11,835","13,783"
     Chiang Rai ,"10,484","10,702","10,157","10,337","11,430","12,726","11,391","11,068","11,231","12,075"
     Mae Hong Son ,"6,147","5,333","5,917","5,283","6,332","7,224","7,879","7,405","9,686","12,131"
     Nakhon Sawan ,"10,045","10,699","11,791","11,683","13,194","13,848","13,933","14,268","16,193","17,128"
     Uthai Thani ,"10,260","9,726","10,728","12,000","11,720","12,710","13,853","13,083","15,690","16,402"
     Kamphaeng Phet ,"13,196","12,461","14,401","13,423","15,050","13,540","15,006","16,360","17,880","17,371"
     Tak ,"9,568","8,874","9,729","9,615","10,389","10,261","12,657","13,149","13,919","15,176"
     Sukhothai ,"9,933","8,695","9,951","11,501","11,757","13,315","14,321","15,312","14,905","17,246"
     Phitsanulok ,"11,416","11,276","11,805","12,163","13,801","15,163","17,459","19,928","19,003","17,650"
     Phichit ,"10,840","10,160","13,671","14,798","13,277","14,623","15,484","14,791","18,687","16,854"
     Phetchabun ,"10,392","10,946","12,499","12,862","12,059","11,423","13,879","13,789","15,599","16,141"
 Northeastern Region ,"10,316","10,920","11,939","12,260","13,422","14,375","14,277","15,092","16,284","17,032"
     Nakhon Ratchasima ,"10,154","11,305","13,228","13,939","13,665","14,251","15,397","15,618","17,771","18,645"
     Buri Ram ,"8,632","8,537","10,727","10,427","12,228","13,629","12,939","14,343","13,952","16,087"
     Surin ,"12,028","12,116","12,579","12,038","14,536","14,401","14,746","18,584","17,069","18,537"
     Si Sa Ket ,"9,316","9,070","8,679","8,725","9,765","11,672","12,837","13,368","14,609","18,124"
     Ubon Ratchathani ,"9,255","10,399","10,943","11,343","13,278","16,030","14,755","13,587","15,478","13,848"
     Yasothon ,"8,914","9,209","10,429","10,101","11,631","12,842","12,110","12,549","15,867","14,453"
     Chaiyaphum ,"8,842","9,344","9,952","10,324","13,086","12,145","16,090","15,022","17,163","16,332"
     Amnat Charoen ,"10,361","10,224","12,516","12,772","13,989","14,862","14,240","14,162","17,529","17,029"
     Bungkan ,,,,,,,"17,098","20,283","20,073","23,697"
     Nong Bua Lam Phu ,"11,250","11,717","13,114","13,302","15,955","16,381","13,356","13,664","17,622","18,761"
     Khon Kaen ,"9,335","11,247","13,803","13,892","13,483","12,866","12,677","13,915","15,700","16,880"
     Udon Thani ,"12,257","14,759","14,353","17,307","20,697","19,086","18,347","21,439","21,620","22,535"
     Loei ,"12,187","12,341","12,211","11,181","12,871","15,155","14,314","14,916","15,789","16,232"
     Nong Khai ,"12,281","12,131","12,231","13,598","14,340","15,517","15,012","15,670","18,361","19,278"
     Maha Sarakham ,"10,579","11,605","11,770","12,692","12,863","16,636","14,714","15,506","14,254","14,654"
     Roi Et ,"10,053","10,638","12,565","12,176","13,826","15,476","16,708","15,348","17,762","17,756"
     Kalasin ,"10,232","10,099","9,985","9,186","10,621","13,028","11,151","12,445","12,178","12,747"
     Sakon Nakhon ,"11,006","10,916","11,389","12,623","11,007","12,337","11,233","13,021","13,475","14,549"
     Nakhon Phanom ,"10,256","9,652","12,573","10,868","11,665","12,049","10,826","11,447","12,562","13,973"
     Mukdahan ,"12,211","11,818","12,463","13,188","15,094","15,637","13,016","13,146","15,203","17,767"
 Southern Region ,"15,260","15,875","16,878","17,298","18,173","19,686","20,645","20,372","21,016","21,293"
     Nakhon Si Thammarat ,"14,918","14,990","16,841","18,763","19,225","20,756","22,102","19,364","20,661","19,829"
     Krabi ,"14,849","15,553","16,989","19,377","21,454","19,812","19,536","20,836","32,837","28,403"
     Phangnga ,"15,979","17,870","17,400","15,100","19,675","19,272","19,209","17,900","21,719","20,717"
     Phuket ,"19,492","19,329","22,536","23,783","22,260","21,255","27,151","25,338","28,111","27,435"
     Surat Thani ,"16,245","18,133","20,983","19,720","20,852","22,826","27,927","28,119","26,410","26,165"
     Ranong ,"15,101","16,358","13,962","16,218","19,619","23,602","20,343","22,587","18,247","18,617"
     Chumphon ,"14,044","15,074","15,681","16,452","18,654","20,567","23,952","22,552","23,985","24,542"
